churn,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
0,37,NA,NA,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,1,0,NA,0,0
0,28,R,486,0,0,1,0,0,96,0,0,5,1,1,1,1,0,0,Weekly,0,0,0,0,Leo,0,0,44,1.47,1
0,35,R,561,47,2,86,47,0,285,0,0,9,1,0,0,0,1,2,Semi-Monthly,0,0,0,0,Capricorn,1,0,65,2.17,0
0,26,R,567,26,3,38,25,0,74,0,0,26,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,33,1.1,1
1,27,NA,NA,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aries,1,0,1,0.03,0
1,32,R,567,5,3,111,5,0,227,0,0,17,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Taurus,0,0,55,1.83,0
0,21,NA,475,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,2,0.07,0
0,24,NA,NA,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,NA,0,0,0,0,Leo,0,0,1,0.11,0
0,28,R,548,0,0,0,0,2,47,1,0,9,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,26,0.87,1
0,23,NA,658,1,0,87,1,0,125,0,0,3,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,32,1.07,0
0,32,R,NA,0,0,30,0,0,70,0,0,3,1,1,1,1,0,0,Monthly,0,0,0,0,Virgo,0,0,19,0.83,1
0,41,O,625,14,0,116,13,0,217,0,0,45,1,1,1,1,0,0,Semi-Monthly,0,0,0,0,Virgo,0,0,65,2.17,0
